,EN SOURCE TXT,Korean
2798,EVERY GAME LIVE.,모든 게임을 라이브로.
2799,EVERY PUCK DROP.,모든 경기가 시작됩니다.
2800,STANLEY CUP FINAL.,스탠리컵 결승전.
2801,THE NBA FINALS.,NBA 결승전.
2802,WARRIORS VS. CAVS.,워리어스 대 캐벌리어스
2803,$99.99 billed yearly,연간 구독: $99.99
2804,30 day free trial {{s}}Best Value!{{/s}},30일 무료 트라이얼 {{s}}가성비 최고!{{/s}}
2805,$9.99 billed monthly,월간 구독: $9.99
2806,Music. Podcasts.{0}News. Live Sports.,"음악, 팟캐스트.{0}뉴스, 라이브 스포츠."
2807,Cancel anytime,언제든 취소 가능
2808,Enjoy the best content TuneIn has to offer. Try Premium risk-free for 7 days then just $9.99/month. Cancel Anytime!,TuneIn이 보유한 최고의 콘텐츠를 즐기세요. 위험부담 없이 프리미엄을 7일 동안 사용해 보신 후 $9.99/월만 내세요. 언제든 취소가 가능합니다!
2809,OutLoud Proxy,OutLoud 프록시
2810,Proud Podcasters,자랑스러운 팟캐스터들
2811,Today's Hits Proxy,오늘의 히트 프록시
2812,Indie Proxy,인디 프록시
2813,Hot Hip Hop Proxy,핫 힙합 프록시
2814,Country Roads Proxy,컨트리 로드 프록시
2815,Hip Hop Hits Proxy,힙합 히트 프록시
2816,Latin Hits,라틴 히트
2817,Exclusive Interviews,독점 인터뷰
2818,Brazilian Music,브라질 음악
2819,Podcasts,팟캐스트
2820,Football,미식축구
2821,Wrestling,레슬링
2822,"Access commercial-free podcasts & music, and live NFL, MLB, NBA & NHL games with TuneIn Premium. Try it risk free for 7 days! Cancel anytime.","TuneIn 프리미엄으로 광고 없이 팟캐스트와 음악, NFL, MLB, NBA 및 NHL 라이브 중계를 청취하세요.
7일 간 위험부담 없이 사용해 보세요! 언제든 취소하실 수 있습니다."
2823,30 day free trial,30일 무료 트라이얼
2824,7 day free trial,7일 무료 트라이얼
2825,Annual,연간
2826,No thanks,사양합니다
2827,Monthly,월간
2828,Popular,인기
2829,Commercial-Free Podcasts,광고 없는 팟캐스트
2830,Commercial-Free Podcasts and Music,광고 없는 팟캐스트 및 음악
2831,Related Stations,관련 방송국
2832,Soul and R&B,소울 및 R&B
2833,Celebrate Pride Month,프라이드 먼스 기념
2834,Commercial Free Podcasts,광고 없는 팟캐스트
2835,Economics Podcasts,경제 관련 팟캐스트
2836,World Cup Podcasts,월드컵 팟캐스트
2837,LGBTQ,성소수자(LGB TQ)
2838,Softball,소프트볼
2839,Basketball,야구
2840,Enjoy the best content TuneIn has to offer. Try Premium risk-free for 7 days. Cancel Anytime!,TuneIn이 제공하는 최고의 콘텐츠를 즐기십시오. 프리미엄 버전을 위험부담 없이 7일 동안 사용해 보세요. 언제든 취소가 가능합니다!
2841,Boxing,복싱
2842,Baseball,야구
2843,Upcoming Events,다가오는 이벤트
2844,The Soundtrack To Your Father's Day,아버지의 날을 위한 사운드트랙
2845,World Cup 2018,월드컵 2018
2846,Listen Live,라이브 방송 듣기
2847,News From the US/North Korea Summit,북미 정상회담 관련 뉴스
2848,Podcasts Dad Will Love,아빠가 좋아할 팟캐스트
2849,A Hobby For Father's Day,아버지의 날을 위한 취미
2850,Celebrating Fatherhood,부성 예찬
2851,For The Dad Who Likes Sports,스포츠를 좋아하는 아빠를 위한 방송
2852,Analysis From Russia,러시아 현지 월드컵 분석
2853,Stories From World Cups Past,지난 월드컵 이야기
2854,Softball,소프트볼
2855,Fantasy & Science Fiction Podcasts,SF 관련 팟캐스트
2856,Other Collections You Might Like,당신이 좋아할 만한 기타 콜렉션
2857,Podcasts About Fatherhood,아버지에 관한 팟캐스트
2858,Registration code invalid. Please request a new one through your device.,잘못된 등록코드입니다. 귀하의 기기를 통해 새로운 등록코드를 요청해 주시기 바랍니다.
2859,"On your device, navigate to Settings & Registration to find the registration code","등록코드를 알아보시려면, 기기 상에서 설정 및 등록 메뉴로 이동하세요"
2860,registration code,등록코드
2861,Device added successfully!,기기가 성공적으로 추가되었습니다!
2862,Add Device,기기 추가
2863,"Note: Adding a device applies to Google TV, Yahoo TV, Blackberry, and Roku only.","알림: 기기 추가는 Google TV, Yahoo TV, Blackberry 및 Roku에만 적용됩니다."
2864,"If you'd like to associate your TuneIn.com account with your mobile device app, you can sign into your TuneIn.com account directly in the app.","귀하의 Tunein.com 계정과 모바일 기기 앱을 연동하려는 경우, 앱에서 귀하의 TuneIn.com 계정으로 바로 로그인하실 수 있습니다. "
2865,Don't ask again,다시 묻지 않기
2866,"There was a problem deleting your device. Please try again, or contact support for further assistance.","기기를 삭제하는 도중에 문제가 발생했습니다. 다시 시도해 주시거나, 지원 부서에 연락하셔서 추가적인 지원을 받으시기 바랍니다."
2867,Are you sure you want to delete this device?,정말 이 기기를 삭제하시겠습니까?
2868,Remove Device,기기 제거
2869,You have associated the following devices with your account,귀하의 계정에 다음과 같은 기기들이 연동되어 있습니다
2870,There was a problem loading your list of devices. Please try refreshing the page.,기기 목록 로드 중에 문제가 발생했습니다. 페이지를 새로고침해 보시기 바랍니다.
2871,Device Settings,기기 설정
2872,DON'T MISS A BEAT.,망설이지 마세요(Don't Miss a Beat)
2873,FOX NEWS TALK.,폭스 뉴스 토크.
2874,GET DOWN TO BUSINESS.,비즈니스에 대해 얘기해 봅시다.
2875,GOOOOOAL.,고오오오오올
2876,HEAR EVERY SCORE.,모든 경기 소식을 들으세요.
2877,LISTEN NOW.,지금 듣기.
2878,LIVE ON AIR.,라이브 방송중.
2879,TECH AND MONEY NEWS.,기술 및 경제 뉴스.
2880,TONS OF PODCASTS.,엄청난 분량의 팟캐스트.
2881,TRY PREMIUM NOW.,지금 프리미엄을 사용해 보세요.
2882,WORLD CUP IS LIVE.,월드컵이 진행 중입니다.
2883,ZERO ADS.,광고 없음.
2884,Top News Stations,톱 뉴스 방송국
2885,Stations,방송국
2886,Poolside Podcasts,풀사이드 팟캐스트
2887,Sounds Like Summer,여름 느낌의 사운드
2888,Hot Hits,핫 히트곡
2889,Featured,특선
2890,Summer Festival Radio,써머 페스티벌 라디오
2891,True Crime Stories,실화 범죄 이야기
2892,Must-Hear Podcasts,꼭 들어야할 팟캐스트
2893,Digging Into Famous Cases,유명 사건을 파해칩니다
2894,The Editors Recommend,에디터의 추천
2895,Murder Talk,살인자의 토크
2896,Listen Live,라이브 듣기
2897,More Collections You'll Love,마음에 들만한 추가 콜렉션
2898,World Cup (LISTEN LIVE),월드컵(생방송 듣기)
2899,Renew,갱신
2900,Address One,주소1
2901,Apt./Suite/Unit/Floor,아파트/건물/동/호수
2902,City,시/군
2903,Listen Live,라이브 듣기
2904,This Week In Podcasts,금주의 팟캐스트계
2905,Editor's Pick of the Week,에디터 선정 금주의 팟캐스트
2906,Your New Fave,당신의 새로운 애용방송
2907,This Week's Best Episodes,금주 최고의 에피소드
2908,Stations you may like,당신이 좋아할 방송국
2909,Other Episodes,기타 에피소드
2910,Submission failed. Please try again!,제출 실패. 다시 시도해 주세요!
2911,You have successfully resubscribed to TuneIn Premium.,TuneIn 프리미엄이 성공적으로 재구독되었습니다.
2912,Subscription failed. Please try again.,구독 실패. 다시 시도해 주세요.
2913,Start Listening Now.,지금 청취를 시작하세요.
2914,Invalid CVV,잘못된 CVV
2915,Invalid Expiration,잘못된 유효기간
2916,Invalid Credit Card Number,잘못된 신용카드 번호
2917,Your billing address does not match the address on your account. Please update your address or contact your bank.,귀하의 청구지 주소가 계정의 주소와 일치하지 않습니다. 주소를 업데이트하거나 해당 은행에 문의해 주십시오.
2918,Your transaction was declined. Please use a different card or contact your bank.,거래가 거부되었습니다. 다른 카드를 사용하거나 해당 은행에 문의해 주십시오.
2919,Your card number is not valid. Please update your card number.,귀하의 카드 번호가 유효하지 않습니다. 카드 번호를 업데이트해 주십시오.
2920,Your card type is not accepted. Please try another card.,귀하의 카드 타입은 허용되지 않습니다. 다른 카드로 시도해 주십시오.
2921,The security code you entered does not match. Please update the CVV and try again.,입력하신 보안 코드가 일치하지 않습니다. CVV를 업데이트한 후에 다시 시도해 주십시오.
2922,Your transaction was declined. Please contact your bank for further details or try another card.,귀하의 트랜잭션이 거부되었습니다. 해당 은행에 세부사항을 문의하거나 다른 카드를 사용해 보십시오.
2923,Your expiration date is invalid or does not match.,귀하의 유효기간이 유효하지 않거나 일치하지 않습니다.
2924,An error occurred. Please try again.,에러가 발생했습니다. 다시 시도해 주십시오.
2925,A similar transaction was recently submitted. Please wait a few minutes and try again.,유사한 트랜잭션이 최근에 제출된 적이 있습니다. 몇 분 기다린 후에 다시 시도해 주십시오.
2926,You already have a subscription to this plan.,이미 이 요금제를 구독하고 계십니다.
2927,Your transaction was declined due to insufficient funds in your account. Please use a different card or contact your bank.,계정에 자금이 부족한 관계로 귀하의 트랜잭션이 거부되었습니다. 다른 카드를 사용하거나 해당 은행에 문의해 주십시오.
2928,The transaction was declined due to invalid data.,잘못된 데이터로 인해 거래가 거부되었습니다.
2929,Please contact support: the payment system did not respond in time to process your transaction.,지원 팀에 문의해 주십시오: 결제 시스템이 귀하의 트랜잭션을 제시간에 처리하지 못했습니다.
2930,"The transaction was declined. Please use a different card, contact your bank, or contact support.",트랜잭션이 거부되었습니다. 다른 카드를 사용하거나 해당 은행 또는 지원 팀에 문의해 주십시오.
2931,The transaction was declined. Please use a different card or contact your bank.,트랜잭션이 거부되었습니다. 다른 카드를 사용하거나 해당 은행에 문의해 주십시오.
2932,The transaction was declined. Please contact support.,트랜잭션이 거부되었습니다. 지원팀에 연락해 주십시오.
2933,Update failed. Please try again!,업데이트 실패. 다시 시도해 주십시오!
2934,You have successfully updated your payment information.,결제 정보를 성공적으로 업데이트하셨습니다.
2935,Payment information updated!,결제 정보가 업데이트되었습니다!
2936,If You Like Global Politics…,국제 정치를 좋아하신다면…
2937,From The BBC,BBC 제공
2938,World Talk,월드토크
2939,Daily News Briefs,데일리 뉴스 브리핑
2940,Popular News Stations,인기 뉴스 방송국
2941,Top News Podcasts,톱 뉴스 팟캐스트
2942,Explore News Topics,뉴스 토픽 탐색
2943,Listen to Music Now,지금 음악을 들어요
2944,Popular Music Stations,인기 음악 방송국
2945,Today's Top Podcasts,오늘의 탑 팟캐스트
2946,If You Like Tennis...,테니스를 좋아하신다면…
2947,News & Highlights,뉴스 & 하이라이트
2948,Listen Now,지금 듣기
2949,Today's Top Games,오늘의 탑 경기
2950,Tracing Tensions Between The Countries,국제적 긴장상황 분석
2951,Trending,트렌딩
2952,Version 14.4 includes the following bug fixes and improvements:,버전 14.4에는 다음과 같은 버그수정 및 개선사항이 포함되었습니다:
2953,- Fixed a crash on Home when offline,- 오프라인일 때 홈에서 충돌이 일어나는 문제 수정
2954,- Popups on iPad are pointing to the correct content after rotation,- 이제 iPad 팝업이 회전 후에도 올바른 콘텐츠를 가리킵니다
2955,- Fixed rotating AirPlay and Chromecast icons on display ads,- 광고 표시간 AirPlay와 Chromecast 아이콘이 돌아가는 문제 수정
2956,- Fixed keyboard dismissal after tapping out of search on Home,- 홈에서 검색을 탭한 이후에 키보드가 없어지는 문제 수정
2957,Stations you may like,당신이 좋아할 방송국
2958,Other Episodes,기타 에피소드
2959,ALL SEASON LONG.,전시즌 내내.
2960,MLB ALL-STAR WEEK.,MLB 올스타 주간.
2961,SLUG IT OUT.,끝까지 싸워라.
2962,30 days free trial,30일 무료 트라이얼
2963,7 days free trial,7일 무료 트라이얼
2964,Thank you for joining! Our gift to you is a 30 day free trial.,가입해주셔서 감사합니다! 30일 무료 트라이얼을 선물로 드립니다.
2965,If You Like Soccer…,축구를 좋아하신다면…
2966,If You Like Basketball…,농구를 좋아하신다면…
2967,Your Basketball Updates,당신을 위한 농구 소식
2968,NBA Fever,NBA의 열기
2969,Daily Soccer Updates,오늘의 축구 소식
2970,World Cup Fever,월드컵의 열기
2971,Top NBA Podcasts,탑 NBA 팟캐스트
2972,NBA on TuneIn,TuneIn NBA
2973,Conservative News,보수적 뉴스
2974,Progressive News,진보적 뉴스
2975,What do you want to listen to?,어느 방송을 들으시겠습니까?
2976,Explore Podcast Topics,팟캐스트 토픽 둘러보기
2977,If You Like Audio Dramas…,오디오 드라마를 좋아하신다면…
2978,Editor's Picks,에디터 특선
2979,If You Like Sci-Fi,Sci-Fi를 좋아하신다면
2980,For The Kids,키즈
2981,The Editors Recommend,에디터 추천
2982,Have A Laugh,웃으세요
2983,Hear From Women,여성들에게 듣다
2984,If You Like Baseball…,야구를 좋아하신다면…
2985,MLB News & Talk,MLB 뉴스와 토크
2986,Baseball Analysis,야구 분석
2987,From The Editors,에디터 제공
2988,Listen ad-free,광고없이 청취하기
2989,Start Free Trial,무료 트라이얼 시작
2990,Sense Of Adventure Podcast,센스 오브 어드벤처 팟캐스트
2991,Kids' Corner,어린이 코너
2992,Tell Me A Story,스토리를 들려주세요
2993,Music For The Family,가족을 위한 음악
2994,Motown Favorites,모타운 인기곡
2995,Podcasts To Experiment With,실험용 팟캐스트
2996,Spacing Out,스페이싱 아웃
2997,Recents,최근 재생
2998,Featured News Stations,특선 뉴스 방송국
2999,TuneIn Music Exclusives,TuneIn 독점 음악
3000,Fixed our contact and support urls being reversed,문의 및 지원 URL이 바뀐 것을 수정
3001,Favorites page updates immediately after a download has completed,다운로드 완료 시 곧바로 즐겨찾기 페이지 업데이트
3002,Try TuneIn Premium risk-free for 30 days when you buy yearly or 7 days for monthly.  Cancel Anytime!,"TuneIn Premium을 연간 구매 시 30일, 월간 구매 시 7일 동안 부담 없이 무료로 사용해 보세요. 언제든 취소 가능합니다!"
3003,TRY IT FREE,무료로 사용해 보기
3004,NFL IS BACK.,NFL이 돌아왔습니다.
3005,TOUCHDOWN.,터치다운.
3006,START LISTENING FREE,무료 듣기 시작
3007,Currently playing item's artwork,현재 재생 중인 항목의 아트워크
3008,Home,홈
3009,Crime & Storytelling Month,범죄 및 스토리텔링의 달
3010,Moods and Activities,"무드, 액티비티"
3011,Oldies,오래된 것들
3012,Motown,모타운
3013,Dance and Electronic,"댄스, 일렉트로닉"
3014,Featured section univision,추천 섹션 유니비전
3015,Breaking Down The Royal Family,왕가를 분석하다
3016,Hear From Experts,전문가에게 듣다
3017,The transaction was declined. Please use a different card or contact your bank.,거래가 거부되었습니다. 다른 카드를 사용하시거나 은행에 연락해 주십시오.
3018,Please contact support: the payment system experienced an unspecified error with your card issuer.,지원 부서에 연락해 주십시오: 결제 시스템에서 카드 발급자와 관련한 불특정한 에러가 발생했습니다.
3019,"Your credit card is expired, please update your card.","신용카드 유효기간이 만료되었습니다, 카드를 갱신해 주십시오."
3020,The transaction was declined. Please contact support.,거래가 거부되었습니다. 지원 부서에 연락해 주십시오.
3021,Your card has not been activated. Please call your bank to activate your card and try again.,귀하의 카드가 활성화되지 않았습니다. 은행에 연락해서 카드를 활성화시킨 후 다시 시도해 주십시오.
3022,Your card has a temporary hold. Please use a different card or contact your bank.,귀하의 카드가 일시적인 사용보류 상태입니다. 다른 카드를 사용하시거나 은행에 연락해 주십시오.
3023,Please contact support: the payment system experienced an error. Your card was not charged.,지원 부서에 연락해 주십시오: 결제 시스템에서 에러가 발생했습니다. 카드에 청구가 이루어지지 않았습니다.
3024,Your card number is not valid. Please update your card number.,귀하의 카드 번호가 유효하지 않습니다. 카드 번호를 업데이트해 주십시오.
3025,The transaction was declined. Please try again or try another card.,거래가 거부되었습니다. 다시 시도하시거나 다른 카드를 사용해 주십시오.
3026,The security code you entered does not match. Please update the CVV and try again.,입력하신 보안 코드가 일치하지 않습니다. CVV를 업데이트하시거나 다시 시도해 주십시오.
3027,The transaction exceeds your daily approval limit. Please contact your bank or try another card.,일일 거래 허용 한도를 초과하였습니다. 은행에 연락하시거나 다른 카드를 사용해 주십시오.
3028,Your billing address does not match the address on your account. Please fix your address or contact your bank.,귀하의 청구지 주소가 귀하의 계정 상의 주소와 일치하지 않습니다. 주소를 수정해 주시거나 은행에 연락해 주십시오.
3029,"Please validate information and try again. If the problem persists, please contact your bank.",정보를 검증해 주신 후 다시 시도해 주십시오. 문제가 계속 발생하면 은행에 연락해 주십시오.
3030,This transaction was declined because it appears to be a fraudulent attempt. Please try a different card.,"거래가 거부되었으며, 사기성 거래 시도로 보입니다. 다른 카드로 시도해 주십시오."
3031,This transaction was declined because it appears to be a fraudulent attempt. Please try a different card.,"거래가 거부되었으며, 사기성 거래 시도로 보입니다. 다른 카드로 시도해 주십시오."
3032,An error occurred while processing your transaction. Please contact support.,거래 처리 간에 에러가 발생했습니다. 지원 부서에 연락해 주십시오.
3033,Your payment details were not found. Please update your billing information.,귀하의 거래 상세사항을 찾지 못했습니다. 청구지 주소를 업데이트 주십시오.
3034,Your card number is not valid. Please try another card or contact your bank.,귀하의 카드 번호가 유효하지 않습니다. 다른 카드를 사용해 주시거나 은행에 연락해 주십시오.
3035,Your card is not allowed to complete this transaction. Please try another card.,귀하의 카드는 이 거래에 허용되지 않는 카드입니다. 다른 카드를 사용해 주십시오.
3036,Your card is not allowed to complete this transaction. Please contact your bank or try another card.,귀하의 카드는 이 거래에 허용되지 않는 카드입니다. 은행에 연락해 주시거나 다른 카드로 시도해 주십시오.
3037,Please contact support: the payment system experienced an unspecified error with your card issuer.,지원 부서에 연락해 주십시오: 결제 시스템에서 카드 발급자와 관련한 불특정한 에러가 발생했습니다.
3038,Your billing information is missing some required information.,귀하의 청구지 주소에 일부 필수 정보가 입력되지 않았습니다.
3039,Please contact support: the payment system experienced an unspecified error with your card issuer.,지원 부서에 연락해 주십시오: 결제 시스템에서 카드 발급자와 관련한 불특정한 에러가 발생했습니다.
3040,Your payment type is not accepted. Please try another card.,사용하신 결제 타입은 지원되지 않습니다. 다른 카드로 다시 시도해 주십시오.
3041,Please contact support: the payment system experienced an unspecified error with your card issuer.,지원 부서에 연락해 주십시오: 결제 시스템에서 카드 발급자와 관련한 불특정한 에러가 발생했습니다.
3042,Your card cannot be accepted. Please contact your issuing bank for details or try another card.,귀하의 카드는 허용되지 않습니다. 발급 은행에 상세사항을 문의하시거나 다른 카드를 사용해 주십시오.
3043,Your card cannot be accepted. Please contact your issuing bank for details or try another card.,귀하의 카드는 허용되지 않습니다. 발급 은행에 상세사항을 문의하시거나 다른 카드를 사용해 주십시오.
3044,The transaction was declined. Please use a different card or contact your bank.,거래가 거부되었습니다. 다른 카드를 사용하시거나 은행에 연락해 주십시오.
3045,"The transaction was declined. You have exceeded a reasonable number of attempts. Please wait a while before retrying your card, or try a different card.","거래가 거부되었습니다. 적정한 시도 횟수를 초과했습니다. 잠시 기다린 후 해당 카드로 다시 시도하시거나, 다른 카드로 시도해 주십시오. "
3046,The payment system would like you to please try again.,결제 시스템에서 귀하에게 결제 재시도를 요청합니다.
3047,If You Like Golf…,골프를 좋아하신다면…
3048,Improve Your Game,게임 실력을 키우세요
3049,Cat Podcasts,고양이 팟캐스트
3050,For Film Fanatics,영화 매니아용
3051,Editor's Reel,편집자 특선 영화
3052,We are sorry! This coupon code is now expired.,죄송합니다! 이 쿠폰 코드는 현재 만료되었습니다.
3053,We are sorry! An error occurred. Please contact {{a}}TuneIn support{{/a}}.,죄송합니다! 에러가 발생했습니다. {{a}}TuneIn 지원 부서{{/a}}에 연락해 주십시오.
3054,We are sorry! This coupon code is invalid.,죄송합니다! 이 쿠폰 코드는 유효하지 않은 코드입니다.
3055,We are sorry! This offer is valid only for non premium users.,죄송합니다! 이 혜택은 프리미엄을 이용하고 계시지 않은 분에게만 유효합니다.
3056,"Live play-by-play of every major sports game including NFL, MLB, NBA and NHL match-ups{0}Commercial-free music curated by leading edge DJs and editors{0}100,000+ radio, news, and sports talk stations{0}Today’s best podcasts including The Daily, Stuff You Should Know, and Ted Radio Hour","NFL, MLB, NBA 및 NHL 경기를 포함한 모든 주요 스포츠 경기에 대한 경기별 생방송{0}핫한 인기 DJ들과 에디터들이 엄선한 광고 없는 음악{0}100,000개 이상의 라디오, 뉴스 및 스포츠 토크 방송국{0}더 데일리, 당신이 알아야 할 것들, 그리고 Ted 라디오 아워를 포함한 오늘의 베스트 팟캐스트"
3057,WHAT IS TUNEIN PREMIUM?,Tunin Premium이란 무엇인가요?
3058,LIVE SPORTS. MUSIC.,생방송 스포츠. 음악.
3059,NEWS. PODCASTS.,뉴스. 팟캐스트.
3060,GET STARTED TODAY!,오늘 시작하세요!
3061,Redeem Now,지금 리딤하기
3062,"Risk free, cancel anytime. TuneIn Premium is an automatically renewing subscription. {{linebreak/}} You will not be charged until your trial period is over.	","위험부담 없음, 언제든 취소 가능. TuneIn Premium은 자동으로 갱신되는 구독입니다. {{linebreak/}} 트라이얼 기간이 종료되기 전까지 이용료가 청구되지 않습니다."
3063,MM,MM
3064,YY,YY
3065,Restart your TuneIn Premium subscription for only {{price/}}/{{billingPeriod/}}.,TuneIn Premium 구독을 단 {{price/}}/{{billingPeriod/}}에 다시 시작하세요.
3066,month,월
3067,year,년
3068,Renew Your Subscription,귀하의 구독을 갱신하세요
3069,ENTER CODE,코드 입력
3070,Back To School,신학기 시작
3071,Learn Something New,새로운 것을 배우세요
3072,Up & Coming Podcasts,떠오르는 팟캐스트
3073,Jazz,재즈
3074,Back To School Music,신학기 음악
3075,Listen Live,생방송 듣기
3076,Clear All,모두 지우기
3077,START LISTENING NOW,지금 듣기
3078,Top NFL Podcasts,탑 NFL 팟캐스트
3079,Episodes You'll Love,당신이 좋아할 에피소드
3080,Home,홈
3081,on demand,주문형
3082,pop-up,팝업
3083,COLLEGE FOOTBALL.,대학 미식축구.
3084,FACE PAINT OPTIONAL.,페이스페인트는 옵션입니다.
3085,If You Like Football...,미식축구를 좋아하신다면...
3086,Actor Chat,배우와의 대화
3087,Study Tunes,공부하며 듣는 음악
3088,Summertime Wind Down,여름철 힐링 음악
3089,Celebrating Classical Music Month,클래식 음악의 달 기념
3090,Road Trip Companion,자동차 여행의 동반자
3091,Kids' Corner,키즈 코너
3092,Recents,최근 항목
3093,NFL KICKOFF.,NFL 시즌 개시.
3094,TOUCHDOOOWN.,"""터치다운.  """
3095,"Podcasts To Make You Say ""Hm!""","아하!""라는 말이 절로 나오는 팟캐스트"
3096,Basketball,농구
3097,Podcasts On Immigration,이민 관련 팟캐스트
3098,Hoop Talk,농구 이야기
3099,News From The NATO Summit,NATO 회담 관련 소식
3100,Listen Live,라이브 방송 듣기
3101,Our Favorite Podcasts,“저희의 인기 팟캐스트      “
3102,Follow These Women,이 여성들을 보라
3103,Study,공부
3104,Relax,휴식
3105,Workout,운동
3106,Party,파티
3107,Top 25 Music Stations,탑 25 음악 방송국
3108,Study Tunes,공부할 때 듣는 음악
3109,Kick Back & Relax,긴장을 풀고 쉬세요
3110,Work It Out,운동을 합시다
3111,Party Time,파티 타임
3112,Fixed a crash on older iPhones running iOS 10,iOS 10 사용 구형 iPhone 충돌 수정
3113,Updated now playing info and alarm feature for newer versions of iOS,iOS 신 버전 현재 재생 중 정보 및 알람 기능 업데이트
3114,TuneIn Premium is a recurring subscription. You will automatically be billed the amount listed above at the end of the free trial period which is 7 days for monthly billing and 30 days for yearly. Your subscription will auto-renew unless you cancel or turn off auto-renew at least 24 hours before the end of the current period.,"TuneIn Premium은 반복 구독입니다. 월간 요금제의 경우 7일, 연간 요금제의 경우 30일인 무료 평가판 사용 기간이 끝나면 자동으로 위 금액이 청구됩니다. 현재 기간이 종료되기 최소 24시간 전에 자동 갱신을 취소하거나 끄지 않는 한 구독은 자동 갱신됩니다."
3115,We are sorry! This code has already been claimed. Please try another.,죄송합니다! 이 코드는 이미 사용되었습니다. 다른 코드를 사용해 보세요.
3116,"Live play-by-play of every major sports game including NFL, MLB, NBA and NHL match-ups{0}Commercial-free music curated by leading edge DJs and editors{0}100,000+ radio, news, and sports talk stations{0}Today’s best podcasts including The Daily, Stuff You Should Know, and Ted Radio Hour	","NFL, MLB, NBA, NHL 경기를 포함한 모든 주요 스포츠 경기 실시간 실황 중계{0}최고의 DJ와 에디터가 선별한 광고 없는 음악{0}10만 개 이상의 라이도, 뉴스, 스포츠 토크 방송국{0}The Daily, Stuff You Should Know, Ted Radio Hour 포함 오늘의 베스트 팟캐스트"
3117,WHAT IS TUNEIN PREMIUM?,TUNEIN PREMIUM이 무엇인가요?
3118,LIVE SPORTS. MUSIC.,실시간 스포츠. 음악.
3119,NEWS. PODCASTS.,뉴스. 팟캐스트.
3120,GET STARTED TODAY!,오늘 바로 시작하세요!
3121,Your discount has been applied. Please fill out your credit card information below to start using TuneIn Premium.,할인이 적용되었습니다. 아래에 신용 카드 정보를 기입하고 TuneIn Premium 사용을 시작하세요.
3122,Go Premium Now,지금 Premium으로 업그레이드
3123,Payment Information,결제 정보
3124,1 minute,1분
3125,You appear to be offline. Please connect to the internet and try again.,인터넷 연결이 끊어진 것으로 보입니다. 인터넷에 연결한 뒤 다시 시도하세요.
3126,REC,REC
3127,Technology News,테크놀로지 뉴스
3128,Stations,방송국
3129,Product Deep Dives,제품 딥 다이브
3130,Industry News,산업 뉴스
3131,Golf Season,골프 시즌
3132,Hurricane Florence News,허리케인 플로렌스 뉴스
3133,National Coverage,내셔널 뉴스
3134,Local Coverage,지역 뉴스
3135,NFL IS HERE.,NFL이 왔습니다.
3136,{{price/}} per month after {{freeTrialLength/}} month trial.,{{freeTrialLength/}}개월 트라이얼 이후 1개월 당 {{price/}}
3137,{{price/}} per year after {{freeTrialLength/}} month trial.,{{freeTrialLength/}}개월 트라이얼 이후 1년 당 {{price/}}
3138,Football Talk,미식축구 토크
3139,Get Your Finances In Order,재테크 바로잡기
3140,Study Tunes,스터디 튠즈
3141,Kid Carpool,키즈 카풀
3142,In His Own Words,직접 이야기합니다
3143,Back To School Study Tunes,신학기 스터디 튠즈
3144,Go Somewhere,어디론가 떠나세요
3145,Fall Begins,가을의 시작
3146,Coming In The Fall,가을 신작
3147,Series For The Season,가을 맞이 시리즈
3148,Listen Commercial-Free,광고 없이 듣기
3149,Featured News Stations,특선 뉴스 방송국
3150,Featured Podcasts,특선 팟캐스트
3151,Top Music Stations,톱 음악 방송국
3152,Top Podcasts,톱 팟캐스트
3153,Made the splash screen cleaner.,시작화면을 깔끔하게 만들었습니다.
3154,Fixed a bug causing the rating prompt to display multiple times.,평가 안내창이 여러번 표시되는 버그를 수정하였습니다.
3155,Fixed an issue where a failed download wouldn't retry automatically.,다운로드 실패시 자동으로 다시 시작되지 않는 문제를 수정하였습니다.
3156,Fixed a bug with notifications when restoring on a new device.,새 기기 상에서 복원시 알림과 관련한 버그를 수정하였습니다.
3157,What do you want to listen to?,어떤 방송을 들으시겠습니까?
3158,"The page you’re looking for has been pulled off the air. No worries, there is still more to discover — just search above.	","찾고 계신 페이지는 방송에서 빠졌습니다. 걱정 마세요, 아직 새로 알아볼 수 있는 방송이 많이 있습니다 — 위에서 검색하기만 하세요."
3159,OOPS.,이런.
3160,Get TuneIn Premium!,TuneIn Premium을 받으세요!
3161,Top Rank Boxing,톱랭크 복싱
3162,Volleyball,배구
3163,German Cup,저먼컵
3164,Home (UK),홈(영국)
3165,Latin Music Awards,라틴뮤직 어워즈
3166,Hear These Artists All Day,하루종일 들을만한 아티스트
3167,President Trump's UN Press Conference,트럼트 대통령의 UN 기자회견
3168,Listen Live,라이브로 듣기
3169,The Allegations Against Kavanaugh,카바노 성추행 폭로
3170,Recents,최신
3171,ESPN Radio,ESPN 라디오
3172,Fox Sports Radio,폭스 스포츠 라디오
3173,Local,지역
3174,Recents,최신
3175,DROP THE PUCK.,퍽을 떨어트리세요.
3176,GET THE SCOOP.,특종을 잡으세요.
3177,MLB PLAYOFFS.,MLB 플레이오프.
3178,NHL IS BACK.,NHL이 돌아왔습니다.
3179,WE'LL BRING PEANUTS.,땅콩은 저희가 가져올게요.
